Track Name,Artist,Album,Release Date,Spotify Duration (ms),Spotify Track URL,YouTube Original Video URL,Original Duration,YouTube Piano Solo Video URL,Piano Solo Duration,Year,Decade,Spotify Duration (min),Original Duration (min),Piano Duration (min),Diff_Original_Piano
Velha Infância - 2004 Digital Remaster,Tribalistas,Tribalistas,2002-01-01,250440,https://open.spotify.com/track/1mSxbLW7fKABfeY4lGpg0E,https://www.youtube.com/watch?v=iyJDuJggiEM,251000,https://www.youtube.com/watch?v=YcOyefoJec0,146000.0,2002,2000,4.174,4.183333333333334,2.433333333333333,1.7500000000000004
Trem-Bala,Ana Vilela,Trem-Bala,2017-12-05,180319,https://open.spotify.com/track/05QeyKGAn4TZrv41tMiD1A,https://www.youtube.com/watch?v=sWhy1VcvvgY,181000,https://www.youtube.com/watch?v=-OswZiQeXgc,60000.0,2017,2010,3.005316666666667,3.0166666666666666,1.0,2.0166666666666666
Aliança,Tribalistas,Tribalistas,2017-01-01,237421,https://open.spotify.com/track/1DLKuppSYytOuxhtI6KBGu,https://www.youtube.com/watch?v=3JiMr-HgHJ8,251000,https://www.youtube.com/watch?v=I1kwd-UDuec,227000.0,2017,2010,3.9570166666666666,4.183333333333334,3.783333333333333,0.40000000000000036
O Que É O Que É?,Gonzaguinha,Caminhos Do Coração,1982-08-13,258986,https://open.spotify.com/track/2CoKGyZavJWTFUPyvWoj0b,https://www.youtube.com/watch?v=IYZcsb706q8,261000,https://www.youtube.com/watch?v=CruT6LdL-Uc,219000.0,1982,1980,4.316433333333333,4.35,3.65,0.6999999999999997
A Banda,Chico Buarque,Chico Buarque de Hollanda,1966-01-01,131000,https://open.spotify.com/track/6wUp7y502iyWLuLuurlOyw,https://www.youtube.com/watch?v=WZWcpEgJZAY,132000,https://www.youtube.com/watch?v=8Ba1_LfcFR0,61000.0,1966,1960,2.183333333333333,2.2,1.0166666666666666,1.1833333333333336
Chão de Giz,Zé Ramalho,Antologia Acústica,1997-04-03,271226,https://open.spotify.com/track/4XYdH6H7haUCeEm9YezQ9K,https://www.youtube.com/watch?v=nL_QNpNOssI,287000,https://www.youtube.com/watch?v=CyIV9tBDQKk,282000.0,1997,1990,4.520433333333333,4.783333333333333,4.7,0.08333333333333304
Você Não Me Ensinou a Te Esquecer,Caetano Veloso,Lisbela e o Prisioneiro (Trilha Sonora),2003-01-07,273293,https://open.spotify.com/track/3ab7KnHf7J35kq9cuunBqO,https://www.youtube.com/watch?v=douUUoXIdBc,272000,https://www.youtube.com/watch?v=Sz8pO7IEoTI,219000.0,2003,2000,4.554883333333334,4.533333333333333,3.65,0.8833333333333333
Aquarela,Toquinho,Aquarela,1983-01-01,258506,https://open.spotify.com/track/4LhxdvP3lfgH3ciOyO1BX1,https://www.youtube.com/watch?v=PT3azbKHJZU,252000,https://www.youtube.com/watch?v=4udHwF4oc5I,214000.0,1983,1980,4.308433333333333,4.2,3.566666666666667,0.6333333333333333
Oração de São Francisco de Assis,Fagner,O Quinze (Versão com faixas bônus),1989-01-01,184440,https://open.spotify.com/track/5hJjJBBWCy5TquAMoZjGVi,https://www.youtube.com/watch?v=99_GuzIkiUM,196000,https://www.youtube.com/watch?v=89l2sgrdyWk,205000.0,1989,1980,3.074,3.2666666666666666,3.4166666666666665,-0.1499999999999999
Deus Me Proteja,Chico César,francisco forró y frevo,2008-01-01,293509,https://open.spotify.com/track/4Ijct6HkKsC9HQVgcnMe7C,https://www.youtube.com/watch?v=E79ZV7rLeeA,295000,https://www.youtube.com/watch?v=d4ZkG8Hf2g0,289000.0,2008,2000,4.891816666666666,4.916666666666667,4.816666666666666,0.10000000000000053
Oceano,Djavan,Djavan,1989-03-25,296106,https://open.spotify.com/track/3iof6EclqePezHDibBiykI,https://www.youtube.com/watch?v=MWh78SM5G7k,283000,https://www.youtube.com/watch?v=bfP_7m425DE,306000.0,1989,1980,4.9351,4.716666666666667,5.1,-0.38333333333333286
Água-viva,ANAVITÓRIA,Esquinas,2024-12-12,168644,https://open.spotify.com/track/48MtQ4Ys6eqpsw0I5cyXNt,https://www.youtube.com/watch?v=dXcxDI95hM4,169000,https://www.youtube.com/watch?v=4W5TKWVDwEc,160000.0,2024,2020,2.8107333333333333,2.816666666666667,2.6666666666666665,0.15000000000000036
Sina,Djavan,Luz,1982-03-25,332133,https://open.spotify.com/track/2kgT6sMwXd3mdeXhBbLMQe,https://www.youtube.com/watch?v=5siQ-ml5lqY,334000,https://www.youtube.com/watch?v=kJOiYGmYYlE,121000.0,1982,1980,5.53555,5.566666666666666,2.0166666666666666,3.55
All Star - Ao Vivo,Nando Reis,"Nando Reis - Voz e Violão - No Recreio, Vol. 1 (Ao Vivo)",2015-11-27,233613,https://open.spotify.com/track/3g5FrnRdbmDQyWNiDIprts,https://www.youtube.com/watch?v=W6JlSD4FFTs,243000,https://www.youtube.com/watch?v=yhvWEJLWkm4,188000.0,2015,2010,3.89355,4.05,3.1333333333333333,0.9166666666666665
Ter o coração no chão,ANAVITÓRIA,Esquinas,2024-12-12,194750,https://open.spotify.com/track/5FbcIkgUDNt6mZdDVFwVyE,https://www.youtube.com/watch?v=ss6hT1f16e4,190000,https://www.youtube.com/watch?v=gKEuoh9JmXw,119000.0,2024,2020,3.245833333333333,3.1666666666666665,1.9833333333333334,1.1833333333333331
Admirável Gado Novo,Zé Ramalho,A Peleja do Diabo com o Dono do Céu (Versão com Faixas Bônus),1979-01-01,294026,https://open.spotify.com/track/1J3iJ1s3p7MRx9VJ9OMn4D,https://www.youtube.com/watch?v=t_sUkOXO4zU,296000,https://www.youtube.com/watch?v=p5CCpTdMPpQ,178000.0,1979,1970,4.900433333333333,4.933333333333334,2.966666666666667,1.9666666666666668
Canção Da América,Milton Nascimento,Sentinela,1980-07-01,231866,https://open.spotify.com/track/78r0cM1PsPNRYGPdfCngqB,https://www.youtube.com/watch?v=75kf9y_fukM,232000,https://www.youtube.com/watch?v=vICn4lEhJFM,293000.0,1980,1980,3.8644333333333334,3.8666666666666667,4.883333333333334,-1.016666666666667
Sá Marina,Wilson Simonal,Alegria! Alegria! Vol.2,1968-09-16,199453,https://open.spotify.com/track/7fbh9Pbddok1b5cMY1FC8a,https://www.youtube.com/watch?v=CnQhNvnI15c,201000,https://www.youtube.com/watch?v=2vxNJH7gpIU,94000.0,1968,1960,3.3242166666666666,3.35,1.5666666666666667,1.7833333333333334
Sinônimos,Chitãozinho & Xororó,Aqui O Sistema É Bruto,2004-01-01,283706,https://open.spotify.com/track/5wn7dRsPFOd236GySyJqLx,https://www.youtube.com/watch?v=wdbrRRy99Eg,338000,https://www.youtube.com/watch?v=w2-yn483fyU,266000.0,2004,2000,4.728433333333333,5.633333333333334,4.433333333333334,1.2000000000000002
A noite,Tiê,Esmeraldas (Álbum Comentado),2014-09-23,218040,https://open.spotify.com/track/06XSmh92M0FIYNGC4Ss0CX,https://www.youtube.com/watch?v=1Ngn3fZIK2E,221000,https://www.youtube.com/watch?v=MmmlS-x0a1o,234000.0,2014,2010,3.634,3.683333333333333,3.9,-0.21666666666666679
Felicidade,Marcelo Jeneci,Feito Pra Acabar,2010-11-30,252600,https://open.spotify.com/track/7wqojWtf69NNjw3P5wMst6,https://www.youtube.com/watch?v=s2IAZHAsoLI,264000,https://www.youtube.com/watch?v=ODmQzi-ihL4,285000.0,2010,2010,4.21,4.4,4.75,-0.34999999999999964
Sozinho - Ao Vivo,Caetano Veloso,Prenda Minha,1998-01-01,190533,https://open.spotify.com/track/02a8cGumnKuEPgoCzmalJp,https://www.youtube.com/watch?v=j9UbE1slI-Q,164000,https://www.youtube.com/watch?v=4byl7DM1TcM,243000.0,1998,1990,3.17555,2.7333333333333334,4.05,-1.3166666666666664
Ainda Bem,Marisa Monte,O Que Você Quer Saber de Verdade,2011-01-01,215520,https://open.spotify.com/track/43BCxznTSBLcXzu4lJ8KW5,https://www.youtube.com/watch?v=Pmt01TGsGGA,247000,https://www.youtube.com/watch?v=pcEI9h0Fv4Y,206000.0,2011,2010,3.592,4.116666666666666,3.433333333333333,0.6833333333333331
Poema,Ney Matogrosso,Olhos De Farol,1999-01-01,262533,https://open.spotify.com/track/7qvL8BbYdxvhOinapMiEeF,https://www.youtube.com/watch?v=QlGvc_p8j6I,261000,https://www.youtube.com/watch?v=RPmMlB_X_wo,235000.0,1999,1990,4.37555,4.35,3.9166666666666665,0.4333333333333331
Oração Ao Tempo - Remixed Original Album,Caetano Veloso,Cinema Transcendental,1979-01-01,206906,https://open.spotify.com/track/7oz1o6N5NDdTXQCZSfB3SO,https://www.youtube.com/watch?v=qNlPLFsBNbc,207000,https://www.youtube.com/watch?v=zd1BNcLBMtw,226000.0,1979,1970,3.4484333333333335,3.45,3.7666666666666666,-0.31666666666666643
O bêbado e a equilibrista,Elis Regina,Essa Mulher,1979-05-17,231358,https://open.spotify.com/track/3eVyDZXJPJzUKkyWP6eLyc,https://www.youtube.com/watch?v=oCcREJdgRXM,229000,https://www.youtube.com/watch?v=lrxomRZKPjw,188000.0,1979,1970,3.8559666666666668,3.816666666666667,3.1333333333333333,0.6833333333333336
Como Nossos Pais,Elis Regina,Falso Brilhante,1976-05-01,261600,https://open.spotify.com/track/2ZC8sdv4Kvuql7Q9T8Agzv,https://www.youtube.com/watch?v=pmY-TIOjQJ4,263000,https://www.youtube.com/watch?v=aH9wagWQZgU,186000.0,1976,1970,4.36,4.383333333333334,3.1,1.2833333333333337
Maria Maria,Milton Nascimento,Clube Da Esquina 2,1978-02-01,184466,https://open.spotify.com/track/1nl13AcSpiCKdbkhtvJoo7,https://www.youtube.com/watch?v=IElS9cxpImA,359000,https://www.youtube.com/watch?v=LTJKWdxbtaI,161000.0,1978,1970,3.0744333333333334,5.983333333333333,2.683333333333333,3.3000000000000003
Encontros E Despedidas,Milton Nascimento,Encontros E Despedidas,1985-08-01,214080,https://open.spotify.com/track/4RfH0fVOtKKsEFINARThZ2,https://www.youtube.com/watch?v=zhgOxxiiBbI,215000,https://www.youtube.com/watch?v=vfkgEB1utAM,242000.0,1985,1980,3.568,3.5833333333333335,4.033333333333333,-0.44999999999999973
Apesar De Você,Chico Buarque,Chico Buarque,1978-01-01,235546,https://open.spotify.com/track/2GAFZG9Z7UGS1iMm4Idrnr,https://www.youtube.com/watch?v=bGAJlOwUgHY,239000,https://www.youtube.com/watch?v=YZTK4mCfbb0,260000.0,1978,1970,3.9257666666666666,3.9833333333333334,4.333333333333333,-0.34999999999999964
Amado,Vanessa Da Mata,Sim,2007-01-01,249973,https://open.spotify.com/track/1h0f2T0DT3EVYnURyV8Rtu,https://www.youtube.com/watch?v=_CK4O1_Bvxg,241000,https://www.youtube.com/watch?v=cF7smZQ5KWU,268000.0,2007,2000,4.166216666666666,4.016666666666667,4.466666666666667,-0.4500000000000002
Se...,Djavan,Coisa de Acender,1992-03-25,291533,https://open.spotify.com/track/0PgsB53yhlKs8D19LgYU4i,https://www.youtube.com/watch?v=ZSZyth38-zk,294000,https://www.youtube.com/watch?v=s6iDF6mRcxw,233000.0,1992,1990,4.858883333333333,4.9,3.8833333333333333,1.016666666666667
Depois,Marisa Monte,O Que Você Quer Saber de Verdade,2011-01-01,173586,https://open.spotify.com/track/2yeI0FRWd1sqGpHEUc5DFm,https://www.youtube.com/watch?v=BM-mnklMWCQ,179000,https://www.youtube.com/watch?v=Q4HNtmbUyXk,125000.0,2011,2010,2.8931,2.9833333333333334,2.0833333333333335,0.8999999999999999
Eu Te Devoro - Ao Vivo,Djavan,Ária (Ao Vivo),2011-07-18,308413,https://open.spotify.com/track/2Px3PZ2qq2uFpRBpfVx8A5,https://www.youtube.com/watch?v=nQ6UwRCFCfc,291000,https://www.youtube.com/watch?v=7h_1cKuXBL4,255000.0,2011,2010,5.140216666666666,4.85,4.25,0.5999999999999996
O Caderno,Toquinho,Seu Violão e Suas Canções Vol. 1,2010-07-24,135133,https://open.spotify.com/track/1yctSMp7P3SkSCHsnkUI7b,https://www.youtube.com/watch?v=-Gsu751X6ag,131000,https://www.youtube.com/watch?v=p5B_oanS0sY,151000.0,2010,2010,2.2522166666666665,2.183333333333333,2.5166666666666666,-0.3333333333333335
Gente Tem Sobrenome,"Toquinho E Banda, Orquestra E Coro Do Projeto Guri",Herdeiros Do Futuro,2007-01-09,166813,https://open.spotify.com/track/4Gndr22JnGpVnaLX1J5S52,https://www.youtube.com/watch?v=_26KL_ESpds,167000,https://www.youtube.com/watch?v=n9aTyCcwYG8,140000.0,2007,2000,2.7802166666666666,2.783333333333333,2.3333333333333335,0.44999999999999973
Vilarejo,Marisa Monte,Infinito Particular,2006-01-01,209546,https://open.spotify.com/track/4qvUtYRNwmFzfJ2loWkQCH,https://www.youtube.com/watch?v=fWIhhlVhODo,279000,https://www.youtube.com/watch?v=PooBD1HNv4U,195000.0,2006,2000,3.4924333333333335,4.65,3.25,1.4000000000000004
País Tropical,Jorge Ben Jor,Jorge Ben,1969-01-20,250666,https://open.spotify.com/track/4877bJ149OUJZHTiU5Jg8P,https://www.youtube.com/watch?v=7TnMwVyQATY,200000,https://www.youtube.com/watch?v=IP1mHFgtu-g,215000.0,1969,1960,4.177766666666667,3.3333333333333335,3.5833333333333335,-0.25
Pra não dizer que não falei das flores,Geraldo Vandre,Enciclopédia Musical Brasileira,2001-01-01,361360,https://open.spotify.com/track/78lTDfRCqtxSvByIRMiXF2,https://www.youtube.com/watch?v=KdvsXn8oVPY,362000,https://www.youtube.com/watch?v=6NvQYLsW5-A,166000.0,2001,2000,6.022666666666667,6.033333333333333,2.7666666666666666,3.2666666666666666
Quem de nós Dois (La Mia Storia Tra Le Dita),Ana Carolina,Ana Rita Joana Iracema Carolina,2001-04-23,305666,https://open.spotify.com/track/2yQMmtem48vOjB1OXAvbKD,https://www.youtube.com/watch?v=imSzf4WuiRg,306000,https://www.youtube.com/watch?v=LWy1W1-NbGg,317000.0,2001,2000,5.094433333333333,5.1,5.283333333333333,-0.18333333333333357
Taj Mahal,Jorge Ben Jor,Africa Brasil,1976-01-01,186933,https://open.spotify.com/track/7pdCDKs0i05N8ag4tAC5u5,https://www.youtube.com/watch?v=c8AuG1W59ig,187000,https://www.youtube.com/watch?v=fDPAcEYgdlw,163000.0,1976,1970,3.11555,3.1166666666666667,2.716666666666667,0.3999999999999999
Catedral,Zélia Duncan,Zélia Duncan,1994-09-03,170800,https://open.spotify.com/track/4tBZUrAviVgUzeTIiJLEe9,https://www.youtube.com/watch?v=QJMTNrcnRoQ,171000,https://www.youtube.com/watch?v=Gb6dTPD4mOU,181000.0,1994,1990,2.8466666666666667,2.85,3.0166666666666666,-0.16666666666666652
Palco,Gilberto Gil,Luar,1981-01-01,266173,https://open.spotify.com/track/2wL88cvKXUOfHuYVd62hji,https://www.youtube.com/watch?v=ou78Tuy_MNM,267000,https://www.youtube.com/watch?v=K03pbfPQXSo,278000.0,1981,1980,4.436216666666667,4.45,4.633333333333334,-0.18333333333333357
Barquinho de papel,ANAVITÓRIA,Trilhas,2022-08-26,228231,https://open.spotify.com/track/7nqOSC8cwBvaTsfmmm7HKX,https://www.youtube.com/watch?v=fyOb_rCTiSw,223000,https://www.youtube.com/watch?v=a8LZDFvdM2I,97000.0,2022,2020,3.80385,3.716666666666667,1.6166666666666667,2.1
Tô Fazendo Falta - Ao Vivo,Joanna,Em Pintura Íntima - Ao Vivo,2007-01-01,228440,https://open.spotify.com/track/4EQOQQPvlz3l7a2mevf7W5,https://www.youtube.com/watch?v=NSY8RaPcsz4,230000,https://www.youtube.com/watch?v=PzxFlOHrD_0,253000.0,2007,2000,3.8073333333333332,3.8333333333333335,4.216666666666667,-0.3833333333333333
Flor de Lis,Djavan,"A Voz, o Violão, a Música de Djavan",1976-01-01,225266,https://open.spotify.com/track/1TX4h6MrIZ0K3r4OOG11WO,https://www.youtube.com/watch?v=b-N5thGuBYs,225000,https://www.youtube.com/watch?v=N3MImMZ9qPQ,201000.0,1976,1970,3.7544333333333335,3.75,3.35,0.3999999999999999
Sitio do Pica Pau Amarelo - Ao Vivo,Gilberto Gil,Unplugged (Ao vivo),1994-01-01,218026,https://open.spotify.com/track/7M6d5VQrPyUJCFC5F2nbIB,https://www.youtube.com/watch?v=i9RbBcDTRAI,194000,https://www.youtube.com/watch?v=nuQuTxLyFkA,92000.0,1994,1990,3.633766666666667,3.2333333333333334,1.5333333333333334,1.7
Sujeito De Sorte,Belchior,Alucinacao,1976-01-01,196560,https://open.spotify.com/track/1UsAjRCSavihMYsspqJz4e,https://www.youtube.com/watch?v=fdwb_siAV54,193000,https://www.youtube.com/watch?v=Tccg5C6TsMQ,217000.0,1976,1970,3.276,3.216666666666667,3.6166666666666667,-0.3999999999999999
Porque Eu Te Amo,ANAVITÓRIA,O Tempo É Agora,2018-03-08,216829,https://open.spotify.com/track/3idU6lZVKD6hvGjnpSHde8,https://www.youtube.com/watch?v=rEnD32kbw6I,218000,https://www.youtube.com/watch?v=gKEuoh9JmXw,119000.0,2018,2010,3.6138166666666667,3.6333333333333333,1.9833333333333334,1.65
É Você - 2004 Digital Remaster,Tribalistas,Tribalistas,2002-01-01,171360,https://open.spotify.com/track/1yUm0iWD3rDf8dViBRpSkt,https://www.youtube.com/watch?v=ej2eGPitJK8,190000,https://www.youtube.com/watch?v=YcOyefoJec0,146000.0,2002,2000,2.856,3.1666666666666665,2.433333333333333,0.7333333333333334
Sonhos,Peninha,Sonhos,1977-04-04,252570,https://open.spotify.com/track/2QoRM3k03DX53hewsaV79a,https://www.youtube.com/watch?v=fmd73zKqcxk,258000,https://www.youtube.com/watch?v=BcTj8tuAuOY,188000.0,1977,1970,4.2095,4.3,3.1333333333333333,1.1666666666666665
Travessia,Milton Nascimento,Travessia,1967-01-01,242013,https://open.spotify.com/track/6MN3vF1tGzG7nkAOLjK0YG,https://www.youtube.com/watch?v=kDe3qOhrJLo,280000,https://www.youtube.com/watch?v=9ss3eUJhGkQ,196000.0,1967,1960,4.03355,4.666666666666667,3.2666666666666666,1.4000000000000004
Voce E Linda - Remixed Original Album,Caetano Veloso,Uns,1983-01-01,292306,https://open.spotify.com/track/0hQbovQO5Cui5Imze8Q3oo,https://www.youtube.com/watch?v=nSdegCBAOVk,293000,https://www.youtube.com/watch?v=1Gd0apqzg_o,227000.0,1983,1980,4.871766666666667,4.883333333333334,3.783333333333333,1.1000000000000005
Diga Sim Pra Mim,Isabella Taviani,Diga Sim,2007-01-01,249360,https://open.spotify.com/track/0agoGYU2CnNunOZylo5u7X,https://www.youtube.com/watch?v=_iv1aa-y-8Y,251000,https://www.youtube.com/watch?v=R7JKmwiV0fs,243000.0,2007,2000,4.156,4.183333333333334,4.05,0.13333333333333375
Entre a Serpente e a Estrela (Amarillo By Morning) [Ao Vivo],Zé Ramalho,Zé Ramalho Ao Vivo 2005 (Deluxe),2005-07-18,223880,https://open.spotify.com/track/3JXkd1PnKZNDYhH3DzOhzF,https://www.youtube.com/watch?v=u1pND94zk5w,226000,https://www.youtube.com/watch?v=hB6L77ArFUo,202000.0,2005,2000,3.731333333333333,3.7666666666666666,3.3666666666666667,0.3999999999999999
Alucinação,Belchior,Alucinacao,1976-01-01,294360,https://open.spotify.com/track/6lCcA1ugWuQPBCHXecSwc8,https://www.youtube.com/watch?v=FenWBF66-ow,294000,https://www.youtube.com/watch?v=he5LCAQ22QI,263000.0,1976,1970,4.906,4.9,4.383333333333334,0.5166666666666666
Mulheres De Atenas,Chico Buarque,Meus Caros Amigos,1976-01-01,260600,https://open.spotify.com/track/6VIgGcxTOjPpvFUrFzM2TO,https://www.youtube.com/watch?v=MabbVn0Rlv4,268000,https://www.youtube.com/watch?v=tvZY3Kciu6w,130000.0,1976,1970,4.343333333333334,4.466666666666667,2.1666666666666665,2.3000000000000003
Tuyo (Narcos Theme) [Extended Version] - A Netflix Original Series Soundtrack,Rodrigo Amarante,Tuyo (Narcos Theme) [Extended Version] [A Netflix Original Series Soundtrack],2018-11-16,151565,https://open.spotify.com/track/6g2BiiVQqY5v1S4HIrM54F,https://www.youtube.com/watch?v=zNPXnAVyAUA,152000,https://www.youtube.com/watch?v=fCPVkmbs7IM,91000.0,2018,2010,2.5260833333333332,2.533333333333333,1.5166666666666666,1.0166666666666666
Frevo Mulher (Ao Vivo),Zé Ramalho,Zé Ramalho Ao Vivo 2005 (Deluxe),2005-07-18,310306,https://open.spotify.com/track/2KP5ExK9fndd0scDLCbELF,https://www.youtube.com/watch?v=fnF5tXBuynI,281000,https://www.youtube.com/watch?v=EP26ZziinJA,123000.0,2005,2000,5.171766666666667,4.683333333333334,2.05,2.6333333333333337
Oração,A Banda Mais Bonita da Cidade,A Banda Mais Bonita da Cidade,2011-01-11,301346,https://open.spotify.com/track/0YBq701BXkMaK6V5UyvOpT,https://www.youtube.com/watch?v=QW0i1U4u0KE,364000,https://www.youtube.com/watch?v=0hGB0uP5wnc,175000.0,2011,2010,5.022433333333334,6.066666666666666,2.9166666666666665,3.15
Quem Sabe Isso Quer Dizer Amor,Milton Nascimento,Pietá,2005-07-26,239933,https://open.spotify.com/track/67UiC5PaQlxa2uVugbwjw3,https://www.youtube.com/watch?v=1edwebkYvYQ,240000,https://www.youtube.com/watch?v=pU8KYE33eCc,104000.0,2005,2000,3.998883333333333,4.0,1.7333333333333334,2.2666666666666666
São Gonça,Seu Jorge,Ana E Jorge (Ao Vivo),2005-11-17,297066,https://open.spotify.com/track/30lKTJnxHqfD1UeiAn0BLD,https://www.youtube.com/watch?v=J-jLcLdM87o,298000,https://www.youtube.com/watch?v=1DILldglxwA,184000.0,2005,2000,4.9511,4.966666666666667,3.066666666666667,1.9
A lista,Oswaldo Montenegro,25 Anos,2004-11-26,179266,https://open.spotify.com/track/7azaUeZjFTpxUbpTFsZPX4,https://www.youtube.com/watch?v=kTuoMok_rJU,170000,https://www.youtube.com/watch?v=8JMWZ9FaSWg,200000.0,2004,2000,2.9877666666666665,2.8333333333333335,3.3333333333333335,-0.5
Paciência,Lenine,Lenine In Cité (Deluxe),2020-06-25,231572,https://open.spotify.com/track/4HHDRt7w95ewCrZtRS8djw,https://www.youtube.com/watch?v=SWm1uvCRfvA,231000,https://www.youtube.com/watch?v=vXnTnHOroFM,191000.0,2020,2020,3.8595333333333333,3.85,3.183333333333333,0.666666666666667
Cheiro De Amor,Maria Bethânia,Mel,1979-01-01,141200,https://open.spotify.com/track/2dhV6VPKdqNg85vgv16xjo,https://www.youtube.com/watch?v=hO_fotuUS2M,141000,https://www.youtube.com/watch?v=sEA6no0JAzI,227000.0,1979,1970,2.3533333333333335,2.35,3.783333333333333,-1.4333333333333331
Tropicália - Remastered 2006,Caetano Veloso,Caetano Veloso,1967-01-01,222106,https://open.spotify.com/track/4cMbAhrwsZsAHceaGvZy9y,https://www.youtube.com/watch?v=mspSv1MDe3E,223000,https://www.youtube.com/watch?v=FXFK1jEwAtM,88000.0,1967,1960,3.701766666666667,3.716666666666667,1.4666666666666666,2.25
Lilás,Djavan,Lilás,1984-03-25,283133,https://open.spotify.com/track/0V0DEGw7N5KlubvARp4VOm,https://www.youtube.com/watch?v=wQH6OQQ5RjQ,285000,https://www.youtube.com/watch?v=Po09Ln8Q6Cw,181000.0,1984,1980,4.718883333333333,4.75,3.0166666666666666,1.7333333333333334
Infinito Particular,Marisa Monte,Infinito Particular,2006-01-01,251693,https://open.spotify.com/track/7ufO0ROFQ6BwSMPx5LuW4e,https://www.youtube.com/watch?v=yPfk_tmjTUo,252000,https://www.youtube.com/watch?v=pP4VX45baiE,171000.0,2006,2000,4.194883333333333,4.2,2.85,1.35
Felicidade,Seu Jorge,"Musica para Churrasco, Vol. 2",2015-03-31,267413,https://open.spotify.com/track/2bDc2CMq7MMAURwnMJverx,https://www.youtube.com/watch?v=gnl-DiE3_gw,268000,https://www.youtube.com/watch?v=4WI4kt8XLu4,114000.0,2015,2010,4.456883333333334,4.466666666666667,1.9,2.566666666666667
Canteiros,Fagner,Ensaio,1999-01-01,329429,https://open.spotify.com/track/28IXLE3uhY2qgRO9cGkiXr,https://www.youtube.com/watch?v=W5LIUUJAQkw,339000,https://www.youtube.com/watch?v=Ay7prXHwFb0,195000.0,1999,1990,5.490483333333334,5.65,3.25,2.4000000000000004
Andar com fé,Gilberto Gil,Um banda um,1982-01-01,200960,https://open.spotify.com/track/2BvDFQOl4JieEGK2cgKOey,https://www.youtube.com/watch?v=FCIeFrxgbfM,201000,https://www.youtube.com/watch?v=p7UeQlIiiuk,64000.0,1982,1980,3.3493333333333335,3.35,1.0666666666666667,2.283333333333333
Palpite,Vanessa Rangel,Vanessa Rangel,1997-03-03,232333,https://open.spotify.com/track/0ZmvPa1tgXSwoHcFRBnDES,https://www.youtube.com/watch?v=-J0CMgqu_5o,233000,https://www.youtube.com/watch?v=aiBR1zU-igE,150000.0,1997,1990,3.8722166666666666,3.8833333333333333,2.5,1.3833333333333333
À Primeira Vista,Chico César,Aos Vivos,1995-01-01,216800,https://open.spotify.com/track/2hjDxNmryN9ziHAIYiRksM,https://www.youtube.com/watch?v=ldiGy9_YagE,257000,https://www.youtube.com/watch?v=Y_E_OTBwJ3c,196000.0,1995,1990,3.6133333333333333,4.283333333333333,3.2666666666666666,1.0166666666666666
Encontros e despedidas,Maria Rita,Maria Rita,2003-01-10,242333,https://open.spotify.com/track/19KDsFyj6Nyxa9xLb29lOL,https://www.youtube.com/watch?v=xOQgUM_Vyqw,243000,https://www.youtube.com/watch?v=oasnwBcocBw,185000.0,2003,2000,4.038883333333334,4.05,3.0833333333333335,0.9666666666666663
Cidadão,Zé Ramalho,Box Zé Ramalho,1998-01-01,230733,https://open.spotify.com/track/58MgAlwOAwymHTKPl7dZfH,https://www.youtube.com/watch?v=s1q9vTXYUUY,233000,https://www.youtube.com/watch?v=JWKO-ITF0DA,180000.0,1998,1990,3.84555,3.8833333333333333,3.0,0.8833333333333333
Comentário a respeito de John,Belchior,2 é Demais,1978-12-06,302200,https://open.spotify.com/track/60FRsJnxV5OC0ueBwYB0yT,https://www.youtube.com/watch?v=dtRbk-dW8zo,303000,https://www.youtube.com/watch?v=he5LCAQ22QI,263000.0,1978,1970,5.036666666666667,5.05,4.383333333333334,0.6666666666666661
Por Onde Andei - Ao Vivo,Nando Reis,Ao Vivo (Live),2004-06-16,251933,https://open.spotify.com/track/4CpwoEs39CydHJuTCl9kfm,https://www.youtube.com/watch?v=szoRvnToBCg,242000,https://www.youtube.com/watch?v=7KW5RSF-v70,244000.0,2004,2000,4.198883333333334,4.033333333333333,4.066666666666666,-0.033333333333333215
Sampa,Caetano Veloso,Muito (Dentro Da Estrela Azulada),1978-01-23,199666,https://open.spotify.com/track/2VBN5kSs1fyiE5fnOYeKsG,https://www.youtube.com/watch?v=t4pl079t548,182000,https://www.youtube.com/watch?v=ApZG7YGgWlA,205000.0,1978,1970,3.3277666666666668,3.033333333333333,3.4166666666666665,-0.3833333333333333
Amiga da Minha Mulher,Seu Jorge,"Musica para Churrasco, Vol. 1",2011-01-10,248080,https://open.spotify.com/track/6TVmNRrCRzU3NlyuubLIzZ,https://www.youtube.com/watch?v=prNwKbJNL2g,249000,https://www.youtube.com/watch?v=a_pHINs2H88,175000.0,2011,2010,4.134666666666667,4.15,2.9166666666666665,1.2333333333333338
Geni E O Zepelim,Chico Buarque,Chico 50 Anos - O Cronista,1994-01-01,319466,https://open.spotify.com/track/2xMPOlmgkhDsjhrVFjzGqF,https://www.youtube.com/watch?v=KQn7UxB3HJQ,320000,https://www.youtube.com/watch?v=9y2zsKkT1x8,201000.0,1994,1990,5.324433333333333,5.333333333333333,3.35,1.983333333333333
